Political Influencer,Affiliation,Number of Followers,Occupation,,Total,258,,,,,,,,,,
@AnnCoulter,Republican Party,2100000,author,,,,,,,,,,,,,
@EricTrump,Republican Party,4700000,"VP of Trump ORG, businessman",,,,,,,,,,,,,
@LaraLeaTrump,Republican Party,1700000,Former television producer who has co-chaired the Republican National Committee since March 2024,,,,,,,,,,,,,
@PatTheSocialist,Republican Party,71800,Podcast Host,,,,,,,,,,,,,
@NancyAFrench,Republican Party,69700,Writer,,,,,,,,,,,,,
@donwinslow,Republican Party,949300,Author,,,,,,,,,,,,,
@BobMurphyEcon,Republican Party,103800,Economist,,,,,,,,,,,,,
@benshapiro,Republican Party,7000000,"Lawyer, columnist, and conservative political commentator",,,,,,,,,,,,,
@elonmusk,Republican Party,201800000,Businessman and investor,,,,,,,,,,,,,
@SarcasmStardust,Republican Party,127900,activist,,,,,,,,,,,,,
@toddcstacy,Republican Party,8255,Publisher,,,,,,,,,,,,,
@DineshDSouza,Republican Party,4300000,"Author, filmmaker, podcast host, convicted felon",,,,,,,,,,,,,
@dbongino,Republican Party,5800000,"Political commentator, radio show host, author",,,,,,,,,,,,,
@TheLeoTerrell,Republican Party,2200000,"@foxnews Contributor, Podcast Host, Civil Rights Attorney, Author",,,,,,,,,,,,,
@donaldjtrumpjr,Republican Party,12400000,Businessman,,,,,,,,,,,,,
@diamondandsilk,Republican Party,2200000,political commentators and vloggers,,,,,,,,,,,,,
@michaelmalice,Republican Party,,anarchist without adjectives,,,,,,,,,,,,,
@tomilahren,Republican Party,2600000,conservative political commentator and television presenter,,,,,,,,,,,,,
@glennbeck,Republican Party,1900000,conservative Independent,,,,,,,,,,,,,
@coachbrucepearl,Republican Party,157100,American college basketball coach who is currently the head coach of the Auburn Tigers men's basketball team,"President Trump won big because more Americans believed he will fix Inflation, secure our border, support legal immigration, bring peace to the world through strength and put America first. I pray and I believe he will work for all Americans, uniting us as one nation under God!",,,,,,,,,,,,
@bennyjohnson,Republican Party,3000000,American conservative political commentator and YouTuber,,,,,,,,,,,,,
@marklevinshow,Republican Party,4400000,"Since 2015, Levin has been editor-in-chief of the Conservative Review and is known for his incendiary commentary. Philadelphia, Pennsylvania, U.S. He has been described as ""right-wing"" by The New York Times, CNN, NPR, and Politico.",,,,,,,,,,,,,
@ksorbs,Republican Party,2200000,"actor, film director, screenwriter, and producer",,,,,,,,,,,,,
@atensnut,Republican Party,1400000,"Nursing home administrator
",,,,,,,,,,,,,
@scottpresler,Republican Party,2000000,American conservative activist,,,,,,,,,,,,,
@pnjaban,Republican Party,1000000,American lawyer and Republican Party official,,,,,,,,,,,,,
@hodgetwins,Republican Party,3000000,Conservative influencer,,,,,,,,,,,,,
