headline,publication_date,people_mentioned,places_mentioned,subjects,organizations,url,abstract,word_count
Palestinians Flee Khan Younis Following Israeli Evacuation Orders,2024-07-02 23:15:56+00:00,,Khan Younis (Gaza Strip); Israel; Gaza Strip,Israel-Gaza War (2023- ); Evacuations and Evacuees; Palestinians,,https://www.nytimes.com/video/world/middleeast/100000009552724/khan-younis-evacuation-israel.html,Gazans who had already been forced to flee again and again were once more hauling their belongings out of eastern Khan Younis after the Israeli military’s new evacuation orders in southern Gaza.,0
Repeated Evacuation Orders Take Toll on Already Weakened Gazans,2024-07-03 16:09:20+00:00,,Gaza Strip,Israel-Gaza War (2023- ); Palestinians; Humanitarian Aid; Famine; War and Armed Conflicts,,https://www.nytimes.com/2024/07/03/world/middleeast/gaza-israel-evacuation.html,"The latest order, which the United Nations estimated affects about 250,000 people, was the largest since October, the U.N. said.",670
"Israel Kills a Top Commander of Hezbollah, Which Replies With a Rocket Barrage",2024-07-03 22:00:09+00:00,,Israel; Lebanon; Gaza Strip,Defense and Military Forces; War and Armed Conflicts; Israel-Gaza War (2023- ); Terrorism,Hezbollah; Hamas,https://www.nytimes.com/2024/07/03/world/middleeast/israel-hezbollah-commander-strike-rockets.html,The escalation in violence across the border of Israel and Lebanon came as Western diplomats tried to head off a full-fledged war there.,1012
How Biden Has Gotten in the Way of Fighting Starvation in Gaza,2024-07-03 23:00:13+00:00,"Biden, Joseph R Jr",Israel,Humanitarian Aid; Foreign Aid; United States International Relations; Israel-Gaza War (2023- ); Palestinians; Civilian Casualties; Refugees and Displaced Persons; Terrorism; International Relations; Politics and Government; Defense and Military Forces,United Nations Relief and Works Agency; Hamas,https://www.nytimes.com/2024/07/03/opinion/biden-gaza-unrwa.html,Israel and the U.S. have made a boogeyman out of the U.N. group that’s providing critical services in Gaza.,1142
Hezbollah Fired 200 Rockets at Israel. Here’s What to Know About the Escalating Tensions.,2024-07-04 04:01:35+00:00,"Nasrallah, Hassan; Assad, Bashar al-",Lebanon; Middle East; Israel; Iran; Gaza Strip; Syria,Israel-Gaza War (2023- ); Palestinians; Terrorism; International Relations; Civilian Casualties; Politics and Government; Defense and Military Forces; Missiles and Missile Defense Systems; Refugees and Displaced Persons,Hezbollah,https://www.nytimes.com/2024/07/04/world/middleeast/hezbollah-israel-new-war.html,A Hezbollah-Israel war could metastasize into a larger regional conflict that could dwarf the current fighting and draw in Iran and the United States.,1198
U.S. and Israel Voice New Optimism About Cease-Fire as Gaza Talks Resume,2024-07-04 11:27:18+00:00,"Netanyahu, Benjamin; Biden, Joseph R Jr",Gaza Strip; Israel,Israel-Gaza War (2023- ); Palestinians; International Relations; Peace Process; Defense and Military Forces,Hamas; Hezbollah,https://www.nytimes.com/2024/07/04/world/middleeast/israel-hamas-cease-fire-proposal.html,"A senior White House official called progress in talks with Hamas “a breakthrough,” while Israel was more restrained, and both said major obstacles to a truce remained.",1232
Labour Loses Votes in Muslim Areas Over Its Gaza Policy,2024-07-05 10:32:10+00:00,,Great Britain,Palestinians; Muslims and Islam; Israel-Gaza War (2023- ),Conservative Party (Great Britain); Labour Party (Great Britain),https://www.nytimes.com/2024/07/05/world/europe/uk-labour-party-israel-gaza-war-starmer.html,Many British Muslims and other voters have demanded that party leaders more vocally condemn the rising death toll and deepening humanitarian crisis in Gaza.,933
Talks on Gaza Cease-Fire Revive After Weeks of Deadlock,2024-07-05 12:04:52+00:00,"Netanyahu, Benjamin; Biden, Joseph R Jr; Barnea, David; Sinwar, Yehya",Doha (Qatar); Israel; Gaza Strip,Israel-Gaza War (2023- ); Palestinians; International Relations,Hamas,https://www.nytimes.com/2024/07/05/world/middleeast/gaza-cease-fire-talks-israel-hamas.html,The negotiations had been stalled for weeks until Hamas announced on Wednesday that it had exchanged some ideas with mediators on a new way forward.,1153
Keep Political Beliefs Out of Medical Care?,2024-07-06 11:00:02+00:00,,,Israel-Gaza War (2023- ); Pro-Palestinian Campus Protests (2023- ); Doctors; Medicine and Health; Workplace Hazards and Violations; Hospitals; Medical Schools; Freedom of Speech and Expression,University of California,https://www.nytimes.com/2024/07/06/opinion/political-beliefs-medical-care-gaza.html,Readers discuss an article about how the Gaza war has been divisive at a hospital and medical school.,1017
Meet the Followers of Martin Luther King Jr. in the West Bank,2024-07-06 11:00:36+00:00,"Amro, Issa",West Bank; Israel,Israel-Gaza War (2023- ); Palestinians; Agriculture and Farming; Israeli Settlements; Defense and Military Forces; Peace Process; Content Type: Personal Profile,,https://www.nytimes.com/2024/07/06/opinion/israeli-palestinian-peace-west-bank.html,These Palestinians say Arabs and Jews can live in peace.,1175
Hamas’s Cease-Fire Proposal Includes a Familiar Sticking Point,2024-07-06 16:38:55+00:00,,Israel; Gaza Strip,Israel-Gaza War (2023- ); Defense and Military Forces; Terrorism; Kidnapping and Hostages; Palestinians; Civilian Casualties; Peace Process; United States International Relations,Hamas,https://www.nytimes.com/2024/07/06/world/middleeast/israel-hamas-cease-fire-proposal.html,Hamas wants assurances that Israel won’t restart the war after some hostages come home. Israel says it needs the option.,974
"In Rafah, We Saw Destruction and the Limits of Israel’s Gaza Strategy",2024-07-07 09:00:57+00:00,"Netanyahu, Benjamin",Gaza Strip; Israel; Rafah (Gaza Strip),Israel-Gaza War (2023- ); Palestinians; Civilian Casualties; Defense and Military Forces,Hamas,https://www.nytimes.com/2024/07/07/world/middleeast/israel-gaza-war-rafah-destruction.html,"Months after Prime Minister Benjamin Netanyahu declared that “victory is within reach,” the Israeli military escorted journalists into parts of a devastated Gazan city.",1135
"After 9 Months of War, Israelis Call for a Cease-Fire Deal and Elections",2024-07-07 11:44:21+00:00,"Netanyahu, Benjamin; Bressler, Shikma",Israel; Gaza Strip,"Israel-Gaza War (2023- ); Demonstrations, Protests and Riots; Kidnapping and Hostages",Hamas,https://www.nytimes.com/2024/07/07/world/middleeast/israel-gaza-protests.html,"A day of nationwide anti-government protests comes amid signs of progress toward a truce and hostage deal with Hamas, as well as continued fighting.",1200
The Left United to Keep the Far Right From Power. Its Strategy Appeared to Work.,2024-07-07 22:03:05+00:00,"Macron, Emmanuel (1977- ); Melenchon, Jean-Luc",,Right-Wing Extremism and Alt-Right; Israel-Gaza War (2023- ); Anti-Semitism,France Unbowed (Political Party); Hamas; National Rally (France); New Popular Front (French Political Party); Socialist Party (France),https://www.nytimes.com/2024/07/07/world/europe/france-election-new-popular-front-far-right.html,"The left-wing alliance includes the divisive Jean-Luc Mélenchon, a combative politician who has been accused of antisemitism.",599
"Columbia Removes Three Deans, Saying Texts Touched on ‘Antisemitic Tropes’",2024-07-08 14:44:18+00:00,"Shafik, Nemat; Kromm, Cristen; Patashnick, Matthew; Chang-Kim, Susan",,Israel-Gaza War (2023- ); Pro-Palestinian Campus Protests (2023- ); Anti-Semitism; Colleges and Universities,"Columbia University; Hillel, The Foundation for Jewish Campus Life; Hamas",https://www.nytimes.com/2024/07/08/nyregion/columbia-university-deans-antisemitism.html,"Nemat Shafik, the university president, called the sentiments in the text messages “unacceptable and deeply upsetting.”",1163
A Wall Street Law Firm Wants to Define Consequences of Israel Protests,2024-07-08 15:09:13+00:00,"Shenker, Joseph C",,Pro-Palestinian Campus Protests (2023- ); Israel-Gaza War (2023- ); Legal Profession; Anti-Semitism; Hiring and Promotion; Colleges and Universities; Law Schools,Sullivan & Cromwell,https://www.nytimes.com/2024/07/08/business/sullivan-cromwell-israel-protests.html,Sullivan & Cromwell is requiring job applicants to explain their participation in protests. Critics see the policy as a way to silence speech about the war.,1203
An Aversion to Political Protests,2024-07-08 16:39:12+00:00,"Biden, Joseph R Jr; Trump, Donald J",New York City,"Demonstrations, Protests and Riots; Pro-Palestinian Campus Protests (2023- ); Israel-Gaza War (2023- ); United States Politics and Government; Presidential Election of 2024; Voting and Voters; Elections; Immigration and Emigration",New York Times,https://www.nytimes.com/2024/07/08/opinion/political-protests-gaza.html,Readers discuss a column by Pamela Paul. Also: Criticism of The Times’s Biden-Trump coverage; why voting matters; helping migrants in New York.,1220
‘Crown Jewels of the Jewish People’: Preserving Memories of the Holocaust,2024-07-09 04:01:15+00:00,"Moreh-Rosenberg, Eliad",France; Israel,Israel-Gaza War (2023- ); World War II (1939-45); Holocaust and the Nazi Era; Pro-Palestinian Campus Protests (2023- ),Yad Vashem Holocaust Museum,https://www.nytimes.com/2024/07/09/world/middleeast/israel-holocaust-yad-vashem.html,"With the survivor generation shrinking and antisemitism on the rise around the world, Israel’s Holocaust memorial is stepping up efforts to safeguard its vast collection of artifacts and testimony.",1275
Israeli General Denounces Jewish Settler Violence in West Bank,2024-07-09 09:01:08+00:00,"Smotrich, Bezalel (1980- )",West Bank; Israel; Gaza Strip,Israeli Settlements; Defense and Military Forces; Israel-Gaza War (2023- ); Palestinians,,https://www.nytimes.com/2024/07/09/world/middleeast/israel-west-bank-violence-yehuda-fuks.html,"Maj. Gen. Yehuda Fuks, the outgoing chief of Israel’s Central Command, rebuked the Israeli government’s policies in the West Bank and condemned “nationalist crime” by Jewish settlers.",669
Cigarette Smuggling in Gaza Turns Aid Trucks Into Targets,2024-07-09 12:51:01+00:00,,Gaza Strip; Israel,Israel-Gaza War (2023- ); Palestinians; Smuggling; Smoking and Tobacco; Humanitarian Aid,United Nations,https://www.nytimes.com/2024/07/09/world/middleeast/gaza-aid-cigarette-smuggling.html,"Organized looters are attacking aid convoys in search of contraband cigarettes, officials say, as needed aid languishes.",829
N.Y.U. Settles Lawsuit by Students Who Claimed Antisemitic Harassment,2024-07-09 20:18:22+00:00,,"Washington Square Park (Manhattan, NY); Israel; Gaza Strip","Colleges and Universities; Israel-Gaza War (2023- ); Pro-Palestinian Campus Protests (2023- ); Anti-Semitism; Jews and Judaism; Demonstrations, Protests and Riots; Suits and Litigation (Civil)",Columbia University; New York University,https://www.nytimes.com/2024/07/09/nyregion/nyu-antisemitism-settlement.html,The lawsuit was part of a wave of litigation against universities over accusations of antisemitism related to campus protests over the war in Gaza.,754
Hezbollah Launches Retaliatory Rockets After Israel Appears to Strike in Syria,2024-07-09 20:27:52+00:00,,Golan Heights; Syria,Israel-Gaza War (2023- ); Targeted Killings,Hezbollah,https://www.nytimes.com/2024/07/09/world/middleeast/hezbollah-rockets-israel-syria.html,"Two members of Hezbollah were reported killed in Syria, near the border with Lebanon, and the Israeli police said that the Hezbollah rocket barrage that followed killed a man and a woman in the Golan Heights.",368
A Biden Confidant Emerges as a Crucial Mideast Diplomat,2024-07-10 09:01:35+00:00,"Biden, Joseph R Jr; Hochstein, Amos (1973- )",Israel; Lebanon; Gaza Strip; Iran,Israel-Gaza War (2023- ); United States International Relations; Terrorism; Palestinians,Hamas; Hezbollah,https://www.nytimes.com/2024/07/10/us/politics/amos-hochstein-lebanon-israel-biden.html,"Amos Hochstein, an energy policy official who was born in Israel, is playing diplomatic firefighter along the Israel-Lebanon border.",1720
Deadly Israeli Airstrike Hits Shelter in Khan Younis,2024-07-10 16:47:15+00:00,,Khan Younis (Gaza Strip); Israel,Israel-Gaza War (2023- ); Palestinians; Civilian Casualties; Refugees and Displaced Persons; Deaths (Fatalities); Defense and Military Forces; Terrorism,Hamas,https://www.nytimes.com/video/world/middleeast/100000009563644/israel-strikes-gaza-school.html,Displaced Palestinians had sought shelter at the school in Khan Younis that was hit by the airstrike. The Israeli military said the target was a Hamas member who participated in the Oct. 7 attack.,0
Carnage at Gaza School Compound Adds to Mounting Death Toll at U.N. Buildings,2024-07-10 23:00:21+00:00,"Netanyahu, Benjamin",Israel; Gaza Strip; Khan Younis (Gaza Strip),Israel-Gaza War (2023- ); Defense and Military Forces; Palestinians; Civilian Casualties; Refugees and Displaced Persons; Deaths (Fatalities); Politics and Government; Terrorism,Hamas,https://www.nytimes.com/2024/07/10/world/middleeast/gaza-schoolyard-strike-israel.html,At least 27 people were killed when an Israeli airstrike exploded as people played soccer at a school turned shelter in southern Gaza.,1314
"‘We Want Our Real Lives Back’: For Gazans, Egypt Is Safe, but It’s Not Home",2024-07-11 09:53:56+00:00,,Cairo (Egypt); Egypt; Gaza Strip; Israel,Israel-Gaza War (2023- ); Palestinians; Refugees and Displaced Persons; International Relations; Defense and Military Forces; vis-photo,,https://www.nytimes.com/2024/07/11/world/middleeast/gaza-egypt-palestinians.html,"Cairo now houses tens of thousands of Palestinians who fled the war in Gaza, with few job prospects, dwindling savings and no way to put their children in the local public schools.",1433
"U.S. Will Allow Delivery of 500-Pound Bombs to Israel, an Official Says",2024-07-11 16:21:35+00:00,"Biden, Joseph R Jr",Gaza Strip,Israel-Gaza War (2023- ); Civilian Casualties; United States International Relations; Bombs and Explosives,Hamas,https://www.nytimes.com/2024/07/11/world/middleeast/us-israel-bombs.html,The bombs had been part of a shipment that President Biden withheld out of concerns over civilian deaths in Gaza.,443
"Fighting Isn’t the Only Killer of Gazans Amid the War, Researchers Say",2024-07-11 17:25:45+00:00,,Gaza Strip,Israel-Gaza War (2023- ); Civilian Casualties; Palestinians,"Lancet, The (Journal); London School of Hygiene and Tropical Medicine",https://www.nytimes.com/2024/07/11/world/middleeast/gaza-war-death-toll-lancet.html,"A letter in a major medical journal has prompted a discussion about the importance, and difficulty, of tallying those killed as an indirect result of the conflict between Israel and Hamas.",922
Israeli Military Admits Wide-Ranging Failures in Border Village Attacked on Oct. 7,2024-07-11 17:47:31+00:00,,Israel; Gaza Strip,Israel-Gaza War (2023- ); Defense and Military Forces; Kibbutz Movement; Terrorism; Civilian Casualties,Hamas,https://www.nytimes.com/2024/07/11/world/middleeast/israeli-military-clears-general-who-approved-fire-on-house-with-hostages-on-oct-7.html,"The military said that it had “failed in its mission” to protect Kibbutz Be’eri, but exonerated a general who authorized tank fire there on a house where Hamas fighters were holding hostages.",1079
Pentagon to Dismantle Temporary Pier Built for Gaza Aid Operation,2024-07-11 18:31:39+00:00,"Biden, Joseph R Jr",Gaza Strip; Israel,Foreign Aid; Israel-Gaza War (2023- ); Palestinians; Humanitarian Aid,,https://www.nytimes.com/2024/07/11/us/politics/gaza-pier-aid.html,The $230 million short-notice project has struggled to overcome rough seas and other problems since it started in May.,556
Ocasio-Cortez Loses the Democratic Socialists’ Endorsement Over Israel,2024-07-11 19:22:01+00:00,"Ocasio-Cortez, Alexandria",New York City,"Israel-Gaza War (2023- ); Palestinians; United States Politics and Government; Endorsements; Elections, House of Representatives",Democratic Socialists of America; House of Representatives,https://www.nytimes.com/2024/07/11/us/politics/aoc-dsa-endorsement.html,The New York congresswoman was blamed for not being supportive enough of the Palestinian cause and efforts to end the war in Gaza.,785
Many in Gaza City Ignore Israeli Military’s Calls to Evacuate,2024-07-11 23:00:18+00:00,"Smotrich, Bezalel (1980- )",Gaza Strip; West Bank,Israel-Gaza War (2023- ); Refugees and Displaced Persons; Palestinians; International Relations; Evacuations and Evacuees,Group of Seven,https://www.nytimes.com/2024/07/11/world/middleeast/gaza-city-evacuation-israel-military.html,"Some civilians are fatigued by their repeated displacements, while others say there is no point in going to other areas that may be just as dangerous.",910
Five Takeaways From Biden’s News Conference,2024-07-12 03:21:20+00:00,"Biden, Joseph R Jr; Harris, Kamala D; Trump, Donald J",Gaza Strip; Ukraine,United States Politics and Government; Presidential Election of 2024; International Relations; Israel-Gaza War (2023- ); Russian Invasion of Ukraine (2022),Democratic Party; North Atlantic Treaty Organization,https://www.nytimes.com/2024/07/11/us/politics/biden-news-conference-takeaways.html,"In a nearly hourlong news conference, the president defended his decision to stay in the race amid questions about his age and mental acuity, but also showed a command of foreign policy.",926
Biden Uses NATO Summit to Assail Trump on Foreign Policy,2024-07-12 04:21:08+00:00,"Biden, Joseph R Jr; Trump, Donald J; Putin, Vladimir V; Xi Jinping",Israel; Gaza Strip; Russia; Ukraine,United States International Relations; United States Politics and Government; Israel-Gaza War (2023- ); Russian Invasion of Ukraine (2022),North Atlantic Treaty Organization; Hamas,https://www.nytimes.com/2024/07/12/us/politics/biden-trump-foreign-policy.html,"At his news conference, the president also acknowledged a new strategy to disrupt the growing ties between China and Russia but provided no details.",996
U.S. Officials See Hopeful Signs in Gaza Cease-Fire Talks,2024-07-12 08:17:22+00:00,"Biden, Joseph R Jr; Sullivan, Jacob J (1976- )",,Israel-Gaza War (2023- ); Peace Process,North Atlantic Treaty Organization; Central Intelligence Agency; Hamas; Shin Bet,https://www.nytimes.com/2024/07/12/world/middleeast/gaza-war-cease-fire-negotiations.html,"People briefed on the talks said it would be days until it is clear whether there was a breakthrough, and other officials cautioned that previous hopes had been dashed.",568
Rescued Hostage Describes Months of Uncertainty and Terror in Gaza,2024-07-12 08:45:23+00:00,,Gaza Strip; Nuseirat (Gaza Strip); Israel,Israel-Gaza War (2023- ); Kidnapping and Hostages; Rescues; Terrorism; Defense and Military Forces,Hamas,https://www.nytimes.com/2024/07/12/world/middleeast/israel-hostage-gaza-koslov-hamas.html,Andrey Kozlov was kept for six months in a family’s apartment by a Hamas operative who moonlighted as a journalist. Then Israeli commandos stormed in.,1559
Does Joe Biden Realize How Angry These Michigan Voters Are?,2024-07-12 08:50:00+00:00,"Biden, Joseph R Jr; Trump, Donald J",,"Presidential Election of 2024; United States Politics and Government; Israel-Gaza War (2023- ); War Crimes, Genocide and Crimes Against Humanity; Muslim Americans; your-feed-opinionvideo",,https://www.nytimes.com/video/opinion/100000009565908/biden-voters-dearborn-michigan.html,"There are over 200,000 registered voters who are Muslim in Michigan, and they could cost Biden the election.",0
Here’s How Biden Loses Michigan,2024-07-12 09:04:25+00:00,"Biden, Joseph R Jr; Trump, Donald J",Michigan; Dearborn (Mich),ARAB-AMERICANS; Muslim Americans; Polls and Public Opinion; Voting and Voters; Presidential Election of 2024; United States Politics and Government; Israel-Gaza War (2023- ); your-feed-opinionvideo,,https://www.nytimes.com/2024/07/12/opinion/biden-michigan-voters-election.html,"The state has over 200,000 registered voters who are Muslim, and they could cost Biden the election.",236
Hamas Official: ‘We’re Not Obstinate’ in Cease-Fire Talks on Gaza,2024-07-12 19:57:24+00:00,"Badran, Husam; ABBAS, MAHMOUD; Netanyahu, Benjamin",Israel; Gaza Strip,Israel-Gaza War (2023- ); Peace Process; Palestinians; Kidnapping and Hostages; Terrorism; Defense and Military Forces; Politics and Government,Hamas; Palestinian Authority,https://www.nytimes.com/2024/07/12/world/middleeast/hamas-israel-peace-talks-gaza.html,"Husam Badran said the militant group would give up civilian control in the territory, but would not disband its military wing.",1286
A Gaza City Neighborhood Is Left in Ruins After Israeli Troops Withdraw,2024-07-12 21:43:31+00:00,"Biden, Joseph R Jr; Netanyahu, Benjamin",Shajaiye (Gaza Strip); Gaza Strip; Israel,Israel-Gaza War (2023- ); Defense and Military Forces; Civilian Casualties; Palestinians; Peace Process; Kidnapping and Hostages; United States International Relations; Politics and Government,Hamas,https://www.nytimes.com/2024/07/12/world/middleeast/gaza-city-shajaiya-israel-hamas.html,"Intense fighting between soldiers and Hamas militants has left parts of the city uninhabitable, say residents who returned.",932
A Pioneering New York Rabbi Says Goodbye to Her L.G.B.T.Q. Congregation,2024-07-13 07:00:58+00:00,"Kleinbaum, Sharon Anne; Weingarten, Randi",New York City,Jews and Judaism; Homosexuality and Bisexuality; Rabbis; Israel-Gaza War (2023- ); LGBTQ Pride Month (US),"Congregation Beit Simchat Torah (Manhattan, NY)",https://www.nytimes.com/2024/07/13/nyregion/rabbi-sharon-kleinbaum-retirement.html,"Rabbi Sharon Kleinbaum, the senior rabbi at Congregation Beit Simchat Torah in Manhattan, is retiring at a challenging time for the gay rights movement.",1095
"How Hamas Is Fighting in Gaza: Tunnels, Traps and Ambushes",2024-07-13 09:00:56+00:00,,Israel; Gaza Strip,Israel-Gaza War (2023- ); Defense and Military Forces; Terrorism; Palestinians; Civilian Casualties,Hamas,https://www.nytimes.com/2024/07/13/world/middleeast/hamas-gaza-israel-fighting.html,"Hamas overwhelmed Israel’s border in October with a coordinated, large-scale maneuver before committing atrocities. Now, it acts as a guerrilla force, its fighters often disguised as civilians.",2742
Israeli Strike Targeting Hamas Commander Kills Dozens in Gaza,2024-07-13 20:04:44+00:00,"Deif, Muhammad",Gaza Strip; Israel,Israel-Gaza War (2023- ); Palestinians; Deaths (Fatalities),Hamas,https://www.nytimes.com/video/world/middleeast/100000009570105/israel-strike-gaza-mawasi.html,"Prime Minister Benjamin Netanyahu said Israel did not yet have “absolute clarity” as to whether Muhammad Deif, the top Hamas military commander in Gaza, had been killed. Gazan authorities reported at least 90 dead.",0
Israel Launches Major Attack Against a Senior Hamas Commander,2024-07-13 21:07:56+00:00,"Deif, Muhammad",Israel; Gaza Strip; Khan Younis (Gaza Strip),Israel-Gaza War (2023- ); Defense and Military Forces; Palestinians; Civilian Casualties; Refugees and Displaced Persons; Terrorism; Assassinations and Attempted Assassinations,Hamas,https://www.nytimes.com/2024/07/13/world/middleeast/israel-hamas-deif-mawasi-khan-younis.html,"The target, Muhammad Deif, was an architect of the Oct. 7 attacks and has been the object of repeated Israeli assassination attempts over decades.",1024
Delta Changes Uniform Policy After Employees Seen With Palestinian Flag Pins,2024-07-13 21:45:42+00:00,,,"AIRLINES AND AIRPLANES; Uniforms; Flight Attendants; Palestinians; Social Media; Flags, Emblems and Insignia; Apologies; Israel-Gaza War (2023- )",Delta Air Lines Inc,https://www.nytimes.com/2024/07/13/business/delta-palestinian-flag-pins.html,A social media post showing two flight attendants wearing the pins drew criticism and prompted Delta to say that only U.S. flag pins would be permitted.,453
Close Surveillance Led to Israeli Attack on Hamas Compound,2024-07-14 19:22:51+00:00,"Deif, Muhammad; Netanyahu, Benjamin",Gaza Strip; Israel; Khan Younis (Gaza Strip),Israel-Gaza War (2023- ); Assassinations and Attempted Assassinations; Palestinians,Hamas; Shin Bet,https://www.nytimes.com/2024/07/14/world/middleeast/israel-hamas-deif-assassination-attempt.html,"Israel officials had been hoping that a high-ranking Hamas figure, Muhammad Deif, would visit a villa tied to a top lieutenant. They struck when he appeared to be there, officials said.",1022
"Israel Struck Twice in Its Attack on Al-Mawasi, Videos and Photos Show",2024-07-14 22:17:45+00:00,"Deif, Muhammad",Gaza Strip; Israel,Israel-Gaza War (2023- ); Civilian Casualties; Palestinians; vis-video,Hamas,https://www.nytimes.com/2024/07/14/world/middleeast/israel-mawasi-strike-vehicles.html,Visual evidence from Saturday’s strike in Gaza that left dozens dead appears to show that the Israeli military launched a separate strike near emergency vehicles.,467
