headline,publication_date,people_mentioned,places_mentioned,subjects,organizations,url,abstract,word_count
Iran Tries to Avoid War With U.S. After Stoking Mideast Conflicts,2024-02-01 19:07:56+00:00,"Khamenei, Ali",Iran; United States,Palestinians; United States International Relations; Terrorism; Embargoes and Sanctions; Israel-Gaza War (2023- ); United States Defense and Military Forces,Hamas; Hezbollah; Islamic Revolutionary Guards Corps; Kataib Hezbollah; Supreme National Security Council (Iran),https://www.nytimes.com/2024/02/01/world/middleeast/iran-us-war.html,"After Iran-aligned militants killed three American soldiers, Iran’s leaders sensed a line was crossed, and are sending more conciliatory signals while awaiting President Biden’s promised response.",1436
U.N. Officials Urge Nations to Resume UNRWA Funding,2024-02-01 20:30:47+00:00,,Gaza Strip; Israel,Israel-Gaza War (2023- ); International Relations; Humanitarian Aid,United Nations Relief and Works Agency,https://www.nytimes.com/video/world/middleeast/100000009293021/unrwa-funding-gaza.html,The United Nations said the suspension of funding for the U.N. Relief and Works Agency could threaten the lives of millions in Gaza.,0
Friday Briefing: The E.U.’s Ukraine Aid Deal,2024-02-01 21:01:34+00:00,,"Far East, South and Southeast Asia and Pacific Areas",,,https://www.nytimes.com/2024/02/01/world/asia/eu-aid-ukraine-israel-settlers-asia.html,"Also, U.S. sanctions on Israeli settlers and battles over bullfighting.",1099
Israel-Hamas Posts Cost 2 Doctors Their Jobs. Then Their Fates Diverged.,2024-02-01 21:24:31+00:00,,New York City,Doctors; Social Media; Israel-Gaza War (2023- ); Ethics and Official Misconduct,New York University Langone Health,https://www.nytimes.com/2024/02/01/nyregion/nyu-langone-israel-firing.html,"Both doctors worked for NYU Langone in New York. In a legal filing on Thursday, one doctor said the decision not to rehire him was unfair after his colleague appeared to get his job back.",816
What to Know About the 4 Israelis Placed Under U.S. Sanctions Over West Bank Violence,2024-02-01 23:27:46+00:00,,West Bank,Israel-Gaza War (2023- ); Embargoes and Sanctions; Palestinians,,https://www.nytimes.com/2024/02/01/world/middleeast/israel-settlers-west-bank-sanctions.html,"The White House announced financial penalties on the men, ranging in age from 21 to 32, over escalating violence against Palestinian civilians.",699
Friday Briefing,2024-02-02 04:30:29+00:00,,,,,https://www.nytimes.com/2024/02/01/briefing/europe-ukraine-aid-israel-settlers.html,The E.U. reached a Ukraine aid deal.,1209
Gazan Cobblers Busy as Shoes Become Scarce,2024-02-02 08:47:00+00:00,,Gaza Strip; Rafah (Gaza Strip),Israel-Gaza War (2023- ); Shoes and Boots; Palestinians; Refugees and Displaced Persons,,https://www.nytimes.com/video/world/middleeast/100000009294071/gazan-cobblers-demand-shoe-prices.html,Shoes have worn out quickly for many Gazans who have had to trek through rubble and walk for hours to flee the violence.,0
"In the West Bank, Palestinians Struggle to Adjust to a New Reality",2024-02-02 10:01:51+00:00,,,Israel-Gaza War (2023- ); Palestinians; Israeli Settlements; Defense and Military Forces; internal-truncator,Palestinian Authority,https://www.nytimes.com/2024/02/02/world/middleeast/west-bank-palestine-israel.html,"The volatile mix of violence, tensions and Israeli restrictions has had a stultifying effect on the West Bank.",1407
A Big Strategic Realignment in the Middle East May Be Coming,2024-02-02 10:03:03+00:00,"Biden, Joseph R Jr; Netanyahu, Benjamin",Iran; Gaza Strip; Israel; Jordan; Middle East; Iraq,United States International Relations; Palestinians; Israel-Gaza War (2023- ); Terrorism; audio-neutral-informative; internal-truncator,Hamas,https://www.nytimes.com/2024/02/02/opinion/biden-doctrine-mideast-realignment.html,Thomas L. Friedman on what he hopes a “Biden Doctrine” for the region will look like.,176
Over 800 Officials in U.S. and Europe Sign Letter Protesting Israel Policies,2024-02-02 11:00:09+00:00,,Europe; Gaza Strip; Israel,Israel-Gaza War (2023- ); Palestinians; International Relations; United States International Relations; Human Rights and Human Rights Violations,North Atlantic Treaty Organization,https://www.nytimes.com/2024/02/02/us/politics/protest-letter-israel-gaza.html,The document was signed by government employees in 12 nations and E.U. institutions. Signers say their leaders’ policies could be contributing to war crimes in Gaza.,1054
How Closely Does Iran Control Its Proxy Forces? It Depends.,2024-02-02 16:10:15+00:00,,Iran; Iraq; Jordan; Lebanon; Yemen; Syria,Israel-Gaza War (2023- ),Hamas; Hezbollah; Houthis,https://www.nytimes.com/2024/02/02/world/middleeast/iran-militias-israel.html,"Tehran provides arms and support to an array of militant groups across the Mideast, but it does not call all the shots, experts say.",770
What Withholding Funds to UNRWA Means for Gaza,2024-02-02 22:18:54+00:00,,Gaza Strip; Israel,Palestinians; International Relations; Israel-Gaza War (2023- ); Refugees and Displaced Persons; Humanitarian Aid,United Nations Relief and Works Agency; United Nations; Hamas,https://www.nytimes.com/2024/02/02/world/middleeast/how-unwra-funds-in-gaza.html,"After 12 employees of the U.N. agency were accused of participating in the Oct. 7 attack against Israel, some donor countries have suspended funding. But more than a million people in Gaza depend on the agency for aid.",801
The U.S. Conducted Retaliatory Strikes in Iraq and Syria,2024-02-02 22:39:29+00:00,,Iran; Syria; Iraq; Jordan; Gaza Strip; Israel,Israel-Gaza War (2023- ); United States Defense and Military Forces,Quds Force,https://www.nytimes.com/2024/02/02/briefing/us-strikes-iraq-syria-jobs-report.html,"Also, the job market started 2024 with remarkable strength. Here’s the latest at the end of Friday.",1303
U.S. Hits Back at Iran With More Than Just Airstrikes,2024-02-02 23:48:42+00:00,,Iran; China; Israel; Gaza Strip,United States International Relations; Terrorism; Embargoes and Sanctions; Israel-Gaza War (2023- ); Defense and Military Forces; Cyberattacks and Hackers; Cyberwarfare and Defense,Islamic Revolutionary Guards Corps; Justice Department; Hells Angels; Hezbollah; Quds Force,https://www.nytimes.com/2024/02/02/us/politics/us-iran-sanctions-charges.html,"The Biden administration used sanctions and criminal charges to punish the Islamic Revolutionary Guards Corps, Iran’s premier military force.",815
Israel Signals Its Military Will Move Into a Gazan City Turned Refuge,2024-02-03 00:00:13+00:00,,Israel; Gaza Strip; Rafah (Gaza Strip); Khan Younis (Gaza Strip),Israel-Gaza War (2023- ); Defense and Military Forces; Palestinians; Refugees and Displaced Persons; Terrorism,Hamas,https://www.nytimes.com/2024/02/02/world/middleeast/israel-hamas-southern-gaza-rafah.html,"A U.N. official described Rafah, a refuge for hundreds of thousands of displaced people, as a “pressure cooker of despair.” It is one of the last cities in southern Gaza that Israeli ground forces have not reached.",887
Biden Finds Support but Also Protests in Michigan,2024-02-03 01:09:33+00:00,"Biden, Joseph R Jr; Trump, Donald J",Michigan,United States Politics and Government; Israel-Gaza War (2023- ); Presidential Election of 2024,,https://www.nytimes.com/2024/02/02/us/politics/biden-michigan-support-protests.html,The president’s Michigan trip underscored the fresh challenges he faces this year.,1094
"With House Seat at Stake, Republicans Court Jewish Voters Rattled by War",2024-02-03 08:00:16+00:00,"Pilip, Mazi Melesa; Suozzi, Thomas R",New York State; Gaza Strip; Israel,"Israel-Gaza War (2023- ); United States Politics and Government; Jews and Judaism; Elections, House of Representatives; Voting and Voters; Suburbs",House of Representatives,https://www.nytimes.com/2024/02/03/nyregion/mazi-pilip-israel-suozzi.html,"To fill George Santos’s seat, Republicans nominated Mazi Pilip, an Israeli military veteran, in the Feb. 13 special election in New York.",1512
"As Face of Biden’s Israel Policy, Blinken Draws Wrath of Gaza War Protesters",2024-02-03 10:03:40+00:00,"Biden, Joseph R Jr; Blinken, Antony J",Gaza Strip; Israel,"Israel-Gaza War (2023- ); Palestinians; Demonstrations, Protests and Riots; War Crimes, Genocide and Crimes Against Humanity; United States International Relations",,https://www.nytimes.com/2024/02/03/us/politics/blinken-gaza-protests.html,Demonstrators have turned up at the secretary of state’s home and even splashed fake blood on his motorcade.,1110
The World Needs to Stand by UNRWA,2024-02-03 12:00:20+00:00,,Gaza Strip; Norway; Israel,Israel-Gaza War (2023- ); Palestinians; Humanitarian Aid; Refugees and Displaced Persons; Terrorism; International Relations,United Nations Relief and Works Agency,https://www.nytimes.com/2024/02/03/opinion/united-nations-unrwa-palestinians.html,The foreign minister of Norway explains why his nation is continuing to fund UNRWA amid allegations of employees’ collusion with Hamas in the Oct. 7 attack.,904
What Can We Possibly Say to the Children of Gaza?,2024-02-03 12:00:21+00:00,,Israel; Gaza Strip,"Israel-Gaza War (2023- ); Defense and Military Forces; Palestinians; Civilian Casualties; Children and Childhood; Deaths (Fatalities); Terrorism; Politics and Government; War Crimes, Genocide and Crimes Against Humanity; International Relations; United States International Relations",Hamas; United Nations Relief and Works Agency,https://www.nytimes.com/2024/02/03/opinion/gaza-israel-war-children.html,"Yes, Israel has the right to defend itself, but that doesn’t excuse this many civilian deaths.",1133
The 8 Days That Roiled the U.N.’s Top Agency in Gaza,2024-02-03 12:22:39+00:00,"Netanyahu, Benjamin",Gaza Strip; Israel; United States,Israel-Gaza War (2023- ); Palestinians; Refugees and Displaced Persons,United Nations Relief and Works Agency; International Court of Justice (UN),https://www.nytimes.com/2024/02/03/world/middleeast/united-nations-gaza-unrwa.html,"The crisis that threatens the future of the main United Nations agency in Gaza, amid a humanitarian disaster, began at a routine meeting between diplomats in Tel Aviv.",1111
U.S. Strikes Test Iran’s Will to Escalate,2024-02-03 16:54:43+00:00,,,United States International Relations; Israel-Gaza War (2023- ); Defense and Military Forces,Hamas; Islamic Revolutionary Guards Corps,https://www.nytimes.com/2024/02/03/us/politics/us-strikes-iran-militias-israel.html,American airstrikes hit Iran-linked targets in Syria and Iraq to retaliate for the recent killing of three U.S. soldiers in Jordan.,1596
Gaza Rescuers Go Missing on Mission to Save Girl Trapped in a Car,2024-02-03 17:15:29+00:00,,Gaza Strip; Israel,Israel-Gaza War (2023- ); Palestinians; Civilian Casualties; Ambulances; Rescues; Humanitarian Aid; Defense and Military Forces,International Federation of Red Cross and Red Crescent Societies,https://www.nytimes.com/2024/02/03/world/middleeast/hind-rajab-gaza-rescue.html,"The Palestine Red Crescent said the girl, named Hind, was in a car in northern Gaza with six of her relatives who were all killed by Israeli fire. She was the sole survivor.",683
U.S. Strikes in Iraq Target Militias Backed by Iran,2024-02-03 18:03:43+00:00,,Qaim (Iraq); Iran,Israel-Gaza War (2023- ); United States Defense and Military Forces; United States International Relations,,https://www.nytimes.com/video/world/middleeast/100000009296121/us-strikes-iraq-iran.html,"Buildings and cars were destroyed in Qaim, Iraq, after retaliatory American airstrikes on Iran-linked targets in Iraq and Syria.",0
House G.O.P. Plans Vote on Israel Aid as Senate Tries to Close Broader Deal,2024-02-03 19:19:57+00:00,"Johnson, Mike (1972- ); Schumer, Charles E",Israel; Gaza Strip,United States Politics and Government; Israel-Gaza War (2023- ); United States International Relations,House of Representatives; Republican Party; Senate,https://www.nytimes.com/2024/02/03/us/politics/house-republicans-israel-aid.html,The move comes as the Senate is racing to finalize and vote on a bill that would also include new border policies and funding for the war in Ukraine.,764
U.S. and U.K. Launch Heavy Strikes on Houthi Sites in Yemen,2024-02-03 22:08:54+00:00,,Yemen; Great Britain; Red Sea; Iran,United States Defense and Military Forces; Defense and Military Forces; Drones (Pilotless Planes); Israel-Gaza War (2023- ); Ships and Shipping; Terrorism,Houthis,https://www.nytimes.com/2024/02/03/us/politics/houthis-yemen-strikes.html,"The airstrikes, meant to deter attacks on ships in the Red Sea, came one day after the United States struck at other Iran-backed militias in Iraq and Syria.",1511
Portraits of Gazans,2024-02-04 10:01:10+00:00,,Gaza Strip; Israel; Khan Younis (Gaza Strip); Rafah (Gaza Strip),"Israel-Gaza War (2023- ); Palestinians; Civilian Casualties; Content Type: Personal Profile; War Crimes, Genocide and Crimes Against Humanity; vis-photo",Hamas,https://www.nytimes.com/2024/02/04/world/middleeast/gaza-photos-israel-war.html,A photojournalist followed some Palestinians whose lives were ripped apart in one of the deadliest wars of the 21st century.,1878
Here’s How the Latest U.S.-Led Strikes Have Unfolded,2024-02-04 10:57:40+00:00,,Gaza Strip; Iran; Iraq; Middle East; Syria; Yemen,Israel-Gaza War (2023- ); United States Defense and Military Forces,Houthis,https://www.nytimes.com/2024/02/04/world/middleeast/us-strikes-yemen-syria-iraq.html,"The United States has led a wave of retaliatory strikes in the Middle East, hitting scores of targets belonging to Iranian-backed armed groups.",427
U.S. Strikes Iranian-Backed Targets for Third Day in a Row,2024-02-04 23:26:58+00:00,"Blinken, Antony J",Iran; United States; Yemen; Israel; Gaza Strip; Middle East,Defense and Military Forces; United States Defense and Military Forces; Israel-Gaza War (2023- ); United States International Relations,Houthis,https://www.nytimes.com/2024/02/04/world/middleeast/us-mideast-strikes-blinken.html,The attack on Houthi militants in Yemen came as Secretary of State Antony Blinken headed for the Mideast to try to defuse escalating tensions.,810
Many Israelis Want Netanyahu Out. But There Is No Simple Path to Do It.,2024-02-05 10:02:39+00:00,"Ben-Gvir, Itamar; Gantz, Benny; Netanyahu, Benjamin; Edelstein, Yuli (1958- ); Smotrich, Bezalel (1980- ); Biden, Joseph R Jr",Israel; Gaza Strip,Israel-Gaza War (2023- ); Politics and Government; Legislatures and Parliaments; Polls and Public Opinion; Elections; United States International Relations,Likud Party (Israel),https://www.nytimes.com/2024/02/05/world/middleeast/israel-netanyahu-americans-elections.html,There is no clear mechanism to force early elections in Israel. But there are other ways to oust the Israeli prime minister.,1375
Here’s What’s in the Senate’s $118 Billion Ukraine and Border Deal,2024-02-05 10:03:33+00:00,,Ukraine; Russia; Israel; Gaza Strip,"United States Politics and Government; Law and Legislation; Foreign Aid; Israel-Gaza War (2023- ); Russian Invasion of Ukraine (2022); Immigration and Emigration; Illegal Immigration; Asylum, Right of",Senate; House of Representatives; Republican Party; Democratic Party,https://www.nytimes.com/2024/02/05/us/politics/senate-border-ukraine-deal.html,Tens of billions of dollars in aid to Ukraine would be tied to an immigration crackdown under legislation that faces a test vote in the Senate this week.,832
"UNRWA Set to Lose $65 Million, Documents Show",2024-02-05 22:10:53+00:00,,Israel; Middle East; Gaza Strip,Palestinians; Israel-Gaza War (2023- ); Refugees and Displaced Persons,United Nations Relief and Works Agency; Hamas; United Nations,https://www.nytimes.com/2024/02/05/world/middleeast/unrwa-funds-gaza-aid.html,"The agency, which plays a key role in the humanitarian crisis in Gaza, has received an influx of private donations but not enough to make up for the loss of international funding.",415
"U.S. Strikes Hit Most of Targets in Iraq and Syria, Pentagon Says",2024-02-05 22:58:22+00:00,"Biden, Joseph R Jr",Iran; Iraq; Syria,Terrorism; United States International Relations; Drones (Pilotless Planes); Israel-Gaza War (2023- ),Defense Department; Hamas; Houthis,https://www.nytimes.com/2024/02/05/us/politics/us-strikes-iraq-syria.html,U.S. officials acknowledge that the targeted militias still retain the majority of their capability to carry out future attacks.,1013
Blinken Meets Saudi Crown Prince on Mideast Push for Pause in Gaza War,2024-02-06 00:00:22+00:00,"Blinken, Antony J; Mohammed bin Salman (1985- )",Saudi Arabia; Gaza Strip; Israel; Syria; Iran,Israel-Gaza War (2023- ); United States International Relations; International Relations; Palestinians,Syrian Democratic Forces,https://www.nytimes.com/2024/02/05/world/middleeast/blinken-saudi-crown-prince.html,The top U.S. diplomat spoke with Saudi Arabia’s de facto ruler as he sought to broker a pause in the fighting. His visit came the same day a drone struck a Syrian base used by U.S. forces and their allies.,1157
Why Biden Is Losing Support Among Some Religious Black Voters,2024-02-06 00:19:52+00:00,"Biden, Joseph R Jr",Israel; Gaza Strip,Israel-Gaza War (2023- ); Palestinians; United States Politics and Government; Black People; Blacks; Presidential Election of 2024; Voting and Voters; Christians and Christianity,,https://www.nytimes.com/video/us/elections/100000009298901/black-pastors-urge-biden-to-demand-a-cease-fire-in-gaza.html,"More than 1,000 Black faith leaders are pressuring the Biden administration to push for a cease-fire in Israel’s war on Hamas in Gaza.",0
Biden Threatens to Veto Bill That Would Help Israel but Not Ukraine,2024-02-06 00:58:17+00:00,"Biden, Joseph R Jr",Israel; Gaza Strip; Ukraine,United States Politics and Government; Law and Legislation; Israel-Gaza War (2023- ); Foreign Aid; Immigration and Emigration; Illegal Immigration,House of Representatives; Office of Management and Budget (US); Republican Party,https://www.nytimes.com/2024/02/05/us/politics/biden-veto-israel-ukraine-immigration.html,President Biden accused Republicans in the House of a “cynical political maneuver” intended to kill broader legislation that would also provide money for the southern border.,360
From Ferguson to Gaza: How African Americans Bonded With Palestinian Activists,2024-02-06 10:01:13+00:00,"Biden, Joseph R Jr",Ferguson (Mo); Israel; Gaza Strip; United States,"Black People; Blacks; Palestinians; Israel-Gaza War (2023- ); Police Brutality, Misconduct and Shootings; Black Lives Matter Movement; United States Politics and Government; Human Rights and Human Rights Violations; audio-neutral-informative",National Assn for the Advancement of Colored People,https://www.nytimes.com/2024/02/06/us/african-americans-palestinian.html,"The relationship became closer during protests over police brutality, but brings political risks, like straining the alliance between African Americans and Jews.",2903
What Israeli Soldiers’ Videos Reveal: Cheering Destruction and Mocking Gazans,2024-02-06 10:01:14+00:00,,Israel; Gaza Strip,"Israel-Gaza War (2023- ); Defense and Military Forces; Palestinians; Civilian Casualties; Social Media; Video Recordings, Downloads and Streaming; Human Rights and Human Rights Violations; War Crimes, Genocide and Crimes Against Humanity; your-feed-visual-investigations; vis-video",TikTok (ByteDance),https://www.nytimes.com/2024/02/06/world/middleeast/israel-idf-soldiers-war-social-media-video.html,An analysis of social media videos found Israeli soldiers filming themselves in Gaza and destroying what appears to be civilian property. The footage provides a rare and unsanctioned window into the war.,1558
Group in Michigan Urges Protest Vote Against Biden Over Israel-Gaza War,2024-02-06 10:03:44+00:00,"Biden, Joseph R Jr",Michigan,Presidential Election of 2024; United States Politics and Government; Israel-Gaza War (2023- ); ARAB-AMERICANS,Democratic Party,https://www.nytimes.com/2024/02/06/us/politics/biden-michigan-israel-gaza.html,The Democratic group is telling voters to mark “Uncommitted” on their primary ballots.,670
The U.N. Scandal Threatening Crucial Aid to Gaza,2024-02-06 11:00:13+00:00,,Gaza Strip; Israel; Jerusalem (Israel),Israel-Gaza War (2023- ); Palestinians; Terrorism; Defense and Military Forces; Humanitarian Aid,United Nations; United Nations Relief and Works Agency,https://www.nytimes.com/2024/02/06/podcasts/the-daily/unrwa-gaza.html,Major donors including the United States have suspended funding to the main United Nations relief agency in Gaza.,339
Displaced Gazans wonder where to go as Israel vows to keep pushing south.,2024-02-06 12:32:12+00:00,"Gallant, Yoav",Gaza Strip; Rafah (Gaza Strip),Israel-Gaza War (2023- ); Palestinians,Hamas,https://www.nytimes.com/2024/02/06/world/middleeast/gaza-rafah-shelter.html,"Speaking at a news conference on Monday, Mr. Gallant said Israeli ground forces would invade places that they still had not reached in central and southern Gaza",804
"More Than a Fifth of Hostages in Gaza Are Dead, Israel Says",2024-02-06 14:32:52+00:00,,Israel; Gaza Strip,Israel-Gaza War (2023- ); Kidnapping and Hostages; Deaths (Fatalities); Terrorism; Palestinians,Hamas,https://www.nytimes.com/2024/02/06/world/middleeast/israel-gaza-hostages-dead.html,"As Israel and Hamas inch closer to a deal to free hostages in exchange for Palestinian prisoners and a cease-fire, the military disclosed that at least 30 of the captives still in Gaza have been confirmed dead.",1116
Desperate Migrants Seeking a New Life,2024-02-06 16:38:10+00:00,"Biden, Joseph R Jr",Israel,"Immigration and Emigration; Asylum, Right of; Refugees and Displaced Persons; United States Politics and Government; Israel-Gaza War (2023- ); Terrorism; Palestinians; Civilian Casualties; Moon",Hamas,https://www.nytimes.com/2024/02/06/opinion/immigration-migrants.html,Readers discuss the surge of migrants seeking asylum in the U.S. Also: Palestinian suffering and Israeli dilemmas; the moon’s mystique.,1140
"Columbia Limited Campus Protests, So Students Took to the Streets",2024-02-06 18:11:50+00:00,,Israel,"Demonstrations, Protests and Riots; Israel-Gaza War (2023- ); Colleges and Universities; Freedom of Speech and Expression; Police; Anti-Semitism; Pro-Palestinian Campus Protests (2023- )",Columbia University; Barnard College; Hamas,https://www.nytimes.com/2024/02/06/nyregion/columbia-campus-protests-streets-police.html,"As Columbia and Barnard weigh how to protect free speech and student safety, their protest rules have forced some students off campus, where they have clashed with the police.",1239
Blinken Says ‘Agreement Is Possible’ With Hamas on a Hostage Deal,2024-02-06 22:26:46+00:00,"Blinken, Antony J",Israel,Israel-Gaza War (2023- ); Kidnapping and Hostages; United States International Relations,Hamas,https://www.nytimes.com/video/world/middleeast/100000009300985/blinken-israel-hamas-hostages.html,"Secretary of State Antony J. Blinken cautioned that there was still “a lot of work to be done,” as the United States and its allies prepare to review Hamas’s response to their cease-fire proposal.",0
"Hamas Gives ‘Positive’ Reply to Gaza Truce Plan, but Odds Remain Murky",2024-02-07 00:00:45+00:00,"Blinken, Antony J; Thani, Tamim bin Hamad al-; Sisi, Abdel Fattah el-; Gallant, Yoav; Biden, Joseph R Jr",Doha (Qatar); Cairo (Egypt); Gaza Strip,Israel-Gaza War (2023- ); Palestinians; Kidnapping and Hostages; Refugees and Displaced Persons; Deaths (Fatalities); Peace Process,State Department; Hamas; Mossad; Houthis,https://www.nytimes.com/2024/02/06/world/middleeast/hamas-israel-truce-hostage-negotiations.html,"U.S. and Qatari leaders hinted at progress in talks for a truce and the release of hostages, but it remains unclear how Israel, determined to crush Hamas, will respond to the group’s counteroffer.",1357
Iraq Hosts Both U.S. and Iranian-Backed Forces. It’s Getting Tense.,2024-02-07 05:01:22+00:00,"Sudani, Mohammed Shia al-",Iraq; United States; Iran,International Relations; Israel-Gaza War (2023- ); United States Defense and Military Forces,,https://www.nytimes.com/2024/02/07/world/middleeast/iraq-iran-us-strikes.html,"As Iranian-backed groups and American forces, both of which have bases in Iraq, lock horns around the Mideast, things are becoming uncomfortable for the Iraqi government.",1171
Wednesday Briefing,2024-02-07 05:10:04+00:00,,,,,https://www.nytimes.com/2024/02/07/briefing/trump-immunity-ruling-hamas-cease-fire.html,A court rejects Donald Trump’s immunity claim.,1267
How the Israeli-Palestinian Conflict Drove a Wedge Into the Democratic Party,2024-02-07 10:02:24+00:00,,Israel,"Israel-Gaza War (2023- ); Palestinians; United States Politics and Government; Demonstrations, Protests and Riots; United States International Relations",Democratic Party; AMERICAN ISRAEL PUBLIC AFFAIRS COMMITTEE,https://www.nytimes.com/2024/02/07/magazine/israel-october-7-democrats.html,"Members of Congress, and candidates for their seats, have been drawn into bitter political clashes over the Israeli-Palestinian conflict.",3875
Is Trump’s MAGA ‘Superpower’ Actually His Kryptonite?,2024-02-07 10:02:40+00:00,"Biden, Joseph R Jr; Trump, Donald J",Israel; Gaza Strip,Presidential Election of 2024; Federal Criminal Case Against Trump (Documents Case); Polls and Public Opinion; United States Politics and Government; Third-Party Politics (US); Israel-Gaza War (2023- ); Immigration and Emigration,Democratic Party; Republican Party,https://www.nytimes.com/2024/02/07/opinion/biden-trump-rematch.html,Biden isn’t the only one who wants to know.,2554
Israel’s Fragile Democratic Future,2024-02-07 11:37:07+00:00,"Netanyahu, Benjamin",Israel; Gaza Strip,Courts and the Judiciary; Democracy (Theory and Philosophy); Israel-Gaza War (2023- ),Supreme Court of Israel,https://www.nytimes.com/2024/02/07/opinion/israel-democracy-netanyahu-war.html,"Israel’s Supreme Court narrowly shut down Benjamin Netanyahu’s efforts to overhaul the judiciary, but the concern remains.",983
Israel Chooses a Eurovision Act as Boycott Campaigns Swirl,2024-02-07 12:50:34+00:00,"Golan, Eden",Israel; Gaza Strip; Iceland; Europe,Pop and Rock Music; Israel-Gaza War (2023- ); Eurovision Song Contest; Boycotts,,https://www.nytimes.com/2024/02/07/arts/music/israel-eurovision-war-boycott.html,"Eden Golan will represent the country in May, in a contest that looks set to be overshadowed by the war in Gaza.",1057
