Date,Trends
16-01-2024,"['Trump Trump Trump', 'Ibadan', 'Iowa Republican', 'Mourinho', 'noah schnapp']"
17-01-2024,"['Notifications', 'Iowa', 'Coachella', 'DeSantis', 'Eagles']"
18-01-2024,"['Davos', 'Pakistan', 'Iowa', 'Coachella', 'Netanyahu']"
19-01-2024,"['SAVM', 'Davos', 'Ukraine', 'Sayin', 'Uvalde']"
20-01-2024,"['#WeArePomu', '#BoycottPizzaHut', 'Gabriel', 'Palworld', 'Sports Illustrated']"
21-01-2024,"['DeSantis', 'Madrid', 'Palworld', 'Lamar', '#UFC297']"
22-01-2024,"['DeSantis', 'Lions', 'Supreme Court', '#AyodhaRamMandir', '#JaiShreeRam']"
23-01-2024,"['Texas', 'Supreme Court', 'New Hampshire', 'Palworld', 'Pokemon']"
24-01-2024,"['$GTAI', 'Oscar', 'Texas', 'Barbie', 'Haley']"
25-01-2024,"['$GTAI', 'New Hampshire', 'Oscar', 'Barbie', 'Kari Lake']"
26-01-2024,"['$WEN', 'The ICJ', 'South Africa', 'Klopp', 'Liverpool']"
27-01-2024,"['Texas', 'Klopp', 'Nicki', 'Jean Carroll', 'Holocaust']"
28-01-2024,"['UNRWA', '$JUP', 'Texas', 'Ravens', 'Lamar']"
29-01-2024,"['$JUP', 'Iran', 'Lamar', '#OTGala9', 'Detroit']"
30-01-2024,"['Nicki', 'Iran', 'Elmo', '#BIGFOOT', 'Lions']"
31-01-2024,"['$JUP', 'Elmo', 'Iran', 'Nicki', 'Shadow']"
01-02-2024,"['Ferrari', 'Lewis', 'Taylor Swift', 'Shadow', 'Messi']"
02-02-2024,"['Ferrari', 'Carl Weathers', '#HazbinHotel', 'PORTAL', 'Syria']"
03-02-2024,"['Carl Weathers', 'The Rock', 'Roman', '#SmackDown', 'Rocky']"
04-02-2024,"['Taylor', '#GRAMMYs', 'Arsenal', 'Putin', '#JAPANEXPOxFREENBECKY']"
05-02-2024,"['#GRAMMYs', 'Grammys', 'Taylor', 'Ukraine', 'Lana']"
06-02-2024,"['Taylor', 'Ukraine', '#GRAMMYs', 'Putin', 'Tucker']"
07-02-2024,"['Nigeria', 'Putin', 'Ukraine', 'Tucker', 'Disney']"
08-02-2024,"['Putin', 'Tucker', 'Ukraine', 'Disney', 'LLOUD CEO LISA']"
09-02-2024,"['Putin', 'The Outside', 'Lakers', 'Kobe', '#WrestleMania']"
10-02-2024,"['Happy Lunar New Year', '#GlobalStarROSÉDay', '#Bitcoin', 'Kanye', 'NATO']"
11-02-2024,"['Usher', 'Chiefs', 'Taylor', 'Pandora', '#SuperBowl']"
12-02-2024,"['Rafah', 'Super Bowl', 'Taylor', 'Chiefs', 'Usher']"
13-02-2024,"['Super Bowl', ""Valentine's Day"", 'Ukraine', 'Senate', 'Chiefs']"
14-02-2024,"[""Valentine's Day"", '$STRK', 'Ukraine', 'Love Day', 'Valentines Day']"
15-02-2024,"[""Valentine's Day"", 'Ukraine', 'Fani Willis', 'Guns', 'Mbappe']"
16-02-2024,"['Navalny', 'Fani', 'Air Drop', 'Fani Willis', 'New York']"
17-02-2024,"['Navalny', 'Putin', 'air drop', 'Fani', 'New York']"
18-02-2024,"['Navalny', 'hobi', 'New York', '#UFC298', 'Truckers']"
19-02-2024,"['Air Drop', 'New York', '$STRK', '$PIXEL', 'East']"
20-02-2024,"['$STRK', 'New York', 'Truckers', 'Tinubu', 'Maria']"
21-02-2024,"['Air Drop', 'Russian', 'New York', 'Arsenal', 'Switch']"
22-02-2024,"['Air Drop', 'AT&T.', 'Google', 'Russian', 'Normani']"
23-02-2024,"['Google', '#HyunjinxVersaceFW24', 'Creator', 'Aang', 'Warriors']"
24-02-2024,"['Pandora', '$PORTAL', 'South Carolina', '#WWEChamber', '#SAGAwards']"
25-02-2024,"['Liverpool', 'Chelsea', 'Haley', '#SAGAwards', '#WWEChamber']"
26-02-2024,"['Aaron Bushnell', 'taeyong', 'karina', 'Free Palestine', 'Haley']"
27-02-2024,"['$PORTAL', 'Aaron Bushnell', 'Israel', 'Pokemon', 'karina']"
28-02-2024,"['#MOCxIDF', 'MOC IDF THE LOYAL PIN', 'Nibiru', 'Aaron Bushnell', 'FREENBECKY NO.1 THAI GL']"
29-02-2024,"['BLAST', '$PORTAL', 'Supreme Court', 'Airdrops', 'SCOTUS']"
01-03-2024,"['Air Drop', 'New Month', 'SCOTUS', '#SEUNGMINatLoeweFW24', 'Diddy']"
02-03-2024,"['Madrid', 'Nicki', '#BahrainGP', 'Taylor', 'The Rock']"
03-03-2024,"['Valencia', '#BahrainGP', 'LeBron', 'foden', 'Rashford']"
04-03-2024,"['Supreme Court', 'Arsenal', 'Colorado', 'Democracy', 'SCOTUS']"
05-03-2024,"['Supreme Court', 'Meta', 'SCOTUS', 'Super Tuesday', 'Maria']"
06-03-2024,"['#GivenchyxFreenSarocha', 'Meta', 'Super Tuesday', 'Nikki Haley', 'Haley']"
07-03-2024,"['Air Drop', 'Dragon Ball', 'Akira Toriyama', 'President Biden', 'State of the Union']"
08-03-2024,"['toriyama', 'sotu', '#InternationalWomensDay', 'President Biden', '$BLOCK']"
09-03-2024,"['Akira Toriyama', '#InternationalWomensDay', 'State of the Union', 'ariana', 'SOTU']"
10-03-2024,"['billie', 'Godzilla', 'Diaz', 'Ramadan Mubarak', 'Saint Denis']"
11-03-2024,"['Oscars', '#Oscars', 'Ramadan', 'Oppenheimer', 'Haiti']"
12-03-2024,"['Ramadan', 'Oscars', 'Haiti', 'Robert Hur', 'Kate Middleton']"
13-03-2024,"['Air Drop', 'TikTok', '$AEVO', 'Robert Hur', 'China']"
14-03-2024,"['SpaceX', '#MileXBulgari1stEventInSeoul', 'White Day', 'Economic', 'MILE WITH BULGARI IN SEOUL']"
15-03-2024,"['Fani Willis', 'Bayern', 'Scott', 'Boeing', 'Pence']"
16-03-2024,"['TikTok', 'Fani', 'Fani Willis', 'JUNGKOOK', 'Pence']"
17-03-2024,"['St. Patrick', '#hololivefesEXPO24_DAY2', 'Context', 'Ireland', 'Sanchez']"
18-03-2024,"['air drop', '$ETHFI', 'Team 1', 'St. Patrick', 'Kate']"
19-03-2024,"['Kate', 'Spring', '#BidensBorderBloodbath', 'Peter Navarro', '#WWERaw']"
20-03-2024,"['Peter Navarro', 'Padres', 'Alien', 'Neuralink', '#XMen97']"
21-03-2024,"['$NIM', 'Apple', 'NFTs', 'El Paso', 'Invasion']"
22-03-2024,"['Kate', 'Kendrick', 'Cancer', '$pundu', 'Registered']"
23-03-2024,"['Russia', 'ISIS', '$ROOST', 'Kendrick', 'Drake']"
24-03-2024,"['Benefit', 'Ferrari', 'Palm Sunday', 'jihyo', 'Eric']"
25-03-2024,"['$ROOST', '$VENOM', '#NCTDREAM_Smoothie', 'ISIS', 'Happy Holi']"
26-03-2024,"['Diddy', 'Ship', '#Chapter27WithLalisa', '#AllRounderLisaDay', 'Endrick']"
27-03-2024,"['Diddy', 'Francis Scott', 'ronna', 'Bible', 'lakers']"
28-03-2024,"['Diddy', '#givenchyxfreen', 'GIVENCHYSS24 X FREEN', 'Beyoncé', 'vivoY100 LIVE WITH BECKY']"
29-03-2024,"['YA YA', 'Beyoncé', '#COWBOYCARTER', 'Good Friday', 'Cowboy Carter']"
30-03-2024,"['YA YA', 'Easter', 'Beyoncé', '#FreenBecky1stFMVN', 'Good Friday']"
31-03-2024,"['Happy Easter', 'Easter', 'Jesus', 'April Fools', 'He is Risen']"
01-04-2024,"['Happy Easter', 'Jesus', 'April Fools', '#TransDayOfVisibility', '#TOMORROW_X_TOGETHER']"
02-04-2024,"['$BLOCK  $BLOCK', 'Air Drop', 'April Fools', 'Easter', 'Jesus']"
03-04-2024,"['Israel', 'Taiwan', 'World Central Kitchen', 'Easter', 'April Fools']"
04-04-2024,"['Israel', 'Taiwan', 'Ethereum', 'NATO', 'Discover']"
05-04-2024,"['#earthquake', 'Drake', 'Reuters', 'Ivan', 'TPAB']"
06-04-2024,"['Night 1', 'Ecuador', '#earthquake', 'UConn', '#WrestleMania']"
07-04-2024,"['Night 1', 'Brazil', 'Iowa', 'Yuki', '#STANDANDDELIVER']"
08-04-2024,"['#Eclipse2024', 'iPhone', 'Seth', 'billie', 'NASA']"
09-04-2024,"['#Eclipse2024', 'Brazil', 'Eid Mubarak', '#WrestleMania', 'Arizona']"
10-04-2024,"['Eid Mubarak', 'Barcelona', '#عيد_الفطر_المبارك', 'Happy Eid', 'Mbappe']"
11-04-2024,"['Eid Mubarak', 'FISA', 'Cancer', 'Arizona', 'Punk']"
12-04-2024,"['Iran', 'OJ Simpson', 'Johnson', 'FISA', 'Sanchez']"
13-04-2024,"['Iran', 'Netanyahu', 'Middle East', 'FISA', 'Drones']"
14-04-2024,"['Israel', 'Iran', 'Iranian', 'Middle East', 'Syria']"
15-04-2024,"['Iran', 'taeyong', 'Middle East', 'Barron', '#WWERaw']"
16-04-2024,"['Israel', 'Iran', 'Dubai', 'WNBA', 'Mbappe']"
17-04-2024,"['$FOMO', 'Iran', 'Dubai', 'Bayern', 'Araujo']"
18-04-2024,"['Madrid', 'Dubai', 'Columbia', ""A'ja"", '#TSTTPD']"
19-04-2024,"['Taylor Swift', '$BTC', 'London', 'Florida', 'renjun']"
20-04-2024,"['Ukraine', '$BTC', 'Chelsea', 'Putin', 'Ukrainian']"
21-04-2024,"['Ukraine', 'The Ukraine', 'Russia', 'Ukrainian', 'Putin']"
22-04-2024,"['Ukraine', 'Columbia', 'Earth Day', 'Russia', 'doyoung']"
23-04-2024,"['#GMMTV2024PART2', '#EarthDay', 'Australia', '$SPOT', 'Lebron']"
24-04-2024,"['TikTok', 'Columbia', 'Hamas', 'Pecker', 'Xavi']"
25-04-2024,"['Gaza', 'TikTok', 'Hamas', 'Supreme Court', 'Hybe']"
26-04-2024,"['#NFLDraft', 'Lakers', 'Penix', 'Eagles', 'Cousins']"
27-04-2024,"['Howard Stern', 'Leverkusen', 'Barr', 'White House Correspondents', 'Feds']"
28-04-2024,"['No. Twitter', 'Kristi Noem', '#NFLDraft', 'Challengers', 'Saka']"
29-04-2024,"['Airdrop', 'WONWOO', 'Charlotte', 'Scotland', 'Wizkid']"
30-04-2024,"['$SKR', 'Drake', 'Ether', 'Arrest', 'Kendrick']"
01-05-2024,"['Kendrick', 'UCLA', 'Hamas', 'NYPD', 'Euphoria']"
02-05-2024,"['Gaza', 'Columbia', 'UCLA', 'Hamas', 'NYPD']"
03-05-2024,"['Gaza', 'Back to Back', 'Drake', 'UCLA', 'Hamas']"
04-05-2024,"['jeno', 'Rocky', '#WWEBacklash', 'Star Wars', 'ANOTHER ONE']"
05-05-2024,"['#WWEBacklash', 'Star Wars', 'May the 4th', 'Meet the Grahams', 'Cinco de Mayo']"
06-05-2024,"['Rafah', 'Met Gala', 'Zendaya', 'ariana', 'Lana']"
07-05-2024,"['#MetGala', 'Rafah', 'Drake', 'ESPN', 'Kendrick']"
08-05-2024,"['Rafah', '#MetGala', 'Madrid', 'Drake', 'Kendrick']"
09-05-2024,"['Rafah', 'Madrid', 'Leverkusen', 'Lover', 'hailey']"
10-05-2024,"['THE DON', 'The Game', '#メイドの日', '#ParisTSTheErasTour', 'Stormy']"
11-05-2024,"['#Eurovision2024', 'Northern Lights', ""A'ja"", 'iPhone', 'Luka']"
12-05-2024,"[""Mother's Day"", 'Eurovision', 'Northern Lights', 'Moms', 'Mothers Day']"
13-05-2024,"[""Mother's Day"", 'Moms', 'Cohen', '#ZEROBASEONE', 'New Jersey']"
14-05-2024,"['Cohen', '$GME', ""Mother's Day"", '#WWERaw', 'Vivek']"
15-05-2024,"['Cohen', 'Bybit', 'Biden and Trump', 'Peru', ""Mother's Day""]"
16-05-2024,"['Biden', 'Bridgerton', '#jjk260', '#ڈر_گئے_خان_کی_جھلک_سے', '#XMen97']"
17-05-2024,"['Biden', 'Congress', 'Alito', '#BRIDGERTON', 'Crockett']"
18-05-2024,"['Diddy', 'Usyk', 'Congress', 'Alito', 'Billie']"
19-05-2024,"['Arsenal', 'Iran', 'Usyk', 'Congress', 'Alito']"
20-05-2024,"['Iran', 'Diddy', 'Knicks', 'Game 7', 'Pacers']"
21-05-2024,"['Iran', 'Raisi', 'The ICC', 'Game 1', '#LCDLF4']"
22-05-2024,"['Binance', 'Ireland', 'Norway', 'Game 1', 'Maria']"
23-05-2024,"['Lookman', 'Maria', '#jjk261', 'Bronx', 'Nikki Haley']"
24-05-2024,"['Bronx', ""Trump's Bronx"", 'Doge', '#jjk261', '#23point5FinalEP']"
25-05-2024,"['Bronx', 'Ten Hag', 'Memorial Day', 'Celtics', 'Perez']"
26-05-2024,"['Rafah', 'Nicki', '$NORMIE', 'George Floyd', '#WWEKINGANDQUEEN']"
27-05-2024,"['Rafah', 'Memorial Day', '#MonacoGP', 'Bill Walton', 'George Floyd']"
28-05-2024,"['Rafah', 'Memorial Day', 'De Niro', 'DeNiro', 'Bill Walton']"
29-05-2024,"['Rafah', '$PARAM', 'DeNiro', 'Iggy', 'Merchan']"
30-05-2024,"['Justice', 'Jury', 'New York', 'Trump 2024', 'The Democrats']"
31-05-2024,"['America', 'Justice', 'Jury', 'New York', 'Democrats']"
01-06-2024,"['Trump', 'Happy Pride', 'Happy Pride Month', 'America', '#UCLfinal']"
02-06-2024,"['Happy Pride Month', 'Real Madrid', 'Dortmund', '#UCLfinal', 'JUNGKOOK']"
03-06-2024,"['México', 'Fauci', 'Happy Pride', 'Mbappe', 'Covid']"
04-06-2024,"['Fauci', 'Pride', 'Covid', 'Dr. Fauci', 'Modi']"
05-06-2024,"['Congress', 'Fauci', 'Covid', '#WorldEnvironmentDay', 'WNBA']"
06-06-2024,"['Game 1', 'Normandy', 'Fauci', 'Steve Bannon', 'SAROCHA SHINES IN GUCCI']"
07-06-2024,"['JUNGKOOK', 'D-Day', 'Bannon', 'Normandy', '$GME']"
08-06-2024,"['Hamas', 'D-Day', 'Colombia', 'Dr. Phil', '#summergamefest']"
09-06-2024,"['Hamas', 'Xbox', '#INDvsPAK', 'Game 2', 'Doom']"
10-06-2024,"['Hamas', 'Xbox', 'Alito', 'Luka', 'wonwoo']"
11-06-2024,"['Hunter', 'Hunter Biden', 'Weverse', 'iPhone', 'iOS 18']"
12-06-2024,"['Hunter', '#WelcomeBackJin', 'Elon', 'Apple', 'Garland']"
13-06-2024,"['Elon', 'Hunter', 'Bridgerton', '$COOKIE', 'Jerry West']"
14-06-2024,"['nayeon', 'Elon', 'Scotland', '#BRIDGERTON', 'Bump']"
15-06-2024,"['Celtics', '#Melodi', '#BANGCHANxMFW', 'Milwaukee', '#BRIDGERTON']"
16-06-2024,"[""Father's Day"", 'Daddy', 'Eid Mubarak', '#EURo2024', 'Dads']"
17-06-2024,"[""Father's Day"", 'Eid Mubarak', 'Mbappe', 'Dads', 'wonwoo']"
18-06-2024,"['#RejectFinanceBill2024', '#สมรสเท่าเทียม', 'Arda', 'Zelda', 'Nintendo Direct']"
19-06-2024,"['Juneteenth', 'Nintendo', 'Zelda', '#HonkaiStarRail', 'Luigi']"
20-06-2024,"['#REJECTFINANCEBILL2024', 'Amazon', 'Drake', '#EURo2024', 'Canada']"
21-06-2024,"['Correct', 'Kendrick', 'Donald Sutherland', 'Drake', 'Canada']"
22-06-2024,"['Correct', '#FreeBilly', 'London', 'SUNNY DAY WITH SAROCHA', '#CiLabEventwithFreen']"
23-06-2024,"['London', '#FREEJAPRADO', 'Angel', 'Correct', '#SunooMelodicGiftOfJune']"
24-06-2024,"['#HouseofThedragon', 'Julian Assange', 'London', 'China', 'Colombia']"
25-06-2024,"['#RejectFinanceBill2024', 'Assange', 'DO NOT', 'Julian Assange', 'London']"
26-06-2024,"['Bolivia', 'DO NOT', '#Kalki2898AD', 'México', 'Venezuela']"
27-06-2024,"['Biden', 'Bolivia', 'Gaza', 'México', 'Venezuela']"
28-06-2024,"['President', 'Joe Biden', 'Democrats', 'Supreme Court', 'Mark']"
29-06-2024,"['jaemin', 'Chevron', 'Megan', 'Newsom', 'Bronny']"
30-06-2024,"['#INDvSA', 'Van Van', '#EURO2024', 'Democrats', 'Southgate']"
01-07-2024,"['Supreme Court', 'SCOTUS', 'Canada', 'Constitution', 'New Month']"
02-07-2024,"['Supreme Court', 'President', 'SCOTUS', 'Ronaldo', 'Canada']"
03-07-2024,"['Trump', 'President', 'Supreme Court', 'Colombia', 'Democrats']"
04-07-2024,"['President', 'America', 'Happy 4th', 'Labour', 'Reform']"
05-07-2024,"['America', 'Happy 4th', 'Labour', 'Dibu', 'Project 2025']"
06-07-2024,"['America', 'Drake', '#EURO2024', 'Project 2025', 'Venezuela']"
07-07-2024,"['America', 'Project 2025', 'Colombia', 'The French', 'Uruguay']"
08-07-2024,"['Kyiv', 'Project 2025', 'The French', 'Vhagar', '#NXTHeatwave']"
09-07-2024,"['Project 2025', 'Google', '#HouseOfTheDragon', '#WWERaw', '#PortfolioDay']"
10-07-2024,"['Lamine Yamal', 'Argentina', 'Spain', 'NATO', 'The NATO']"
11-07-2024,"['NATO', 'Putin', 'Clooney', 'George Clooney', 'President Putin']"
12-07-2024,"['Shelley Duvall', 'President Putin', 'Eminem', '#loveislandusa', '#TrumpPedoFiles']"
13-07-2024,"['Pennsylvania', 'TwitterX', 'Project 2025', 'Resign', 'My President']"
